Course ID,Title,Credits,PreReq
ACCT 200,Financial Accounting,3,MATH 112 or MATH 115	or MATH 121 or MATH 130 or MATH 181
ACCT 210,Managerial Accounting,3, ACCT 200
ACCT 220,Accounting Cycle Applications,1, ACCT 200
ACCT 300,Intermediate Financial Accounting I,3,ACCT 200
ACCT 301,Intermediate Financial Accounting II,3, ACCT 300 
ACCT 310,Management Accounting I,3,"ACCT 200, ACCT 210"
ACCT 320,Accounting Analytics and Information Systems,3,
ACCT 330,Individual Income Tax,3," ACCT 200, ACCT 210"
ACCT 400,Advanced Financial Accounting,3, ACCT 301 
ACCT 410,Business Income Tax,3," ACCT 300, ACCT 330 "
ACCT 421,Assurance Services I,3,ACCT 300
ADT 500,Dental Anatomy and Biomaterials in Advanced Dental Therapy,1,
ADT 505,Advanced Dental Therapy Preclinical Operative Dentistry,5.00                                    ,
ADT 510,Health Assessment and Treatment Planning Seminar,1,
ADT 515,Pediatric and Adolescent Oral Healthcare in Advanced Dental Therapy,5.00                                    ,
ADT 520,Health Assessment and Treatment Planning Lab and Clinic,2,
ADT 525,Advanced Dental Therapy Clinic & Seminar I,4,
ADT 615,Pharmacology in Advanced Dental Therapy Practice,2,
ADT 620,Management of Medical and Dental Emergencies in Advanced Dental Therapy,1,
ADT 640,Advanced Dental Therapy Clinic II,3,
ADT 645,Advanced Dental Therapy Clinic & Seminar III,3,
ADT 650,Advanced Dental Therapy Clinic & Seminar IV,3,
ADT 655,Advanced Dental Therapy Clinic and Seminar V,3,
ADT 656,Research skills for the Advanced Dental Therapist,1,
ADT 660,Integrated Dental Therapy Practice,2,
ADT 661,Capstone Project for Advanced Dental Therapist,1,
AET 102,Introduction to Automotive Engineering Technology,1,
AET 160,Automotive Technology & Systems,4,
AET 261,Automotive Driveability and Diagnosis,4,
AET 262,Automotive Computers and Electronics,4,"AET 160, AET 261, EET 113"
AET 280,Data Acquisition and Analysis,3,"EET 113, MATH 121"
AET 334,Fluid Power,3," MATH 121, PHYS 211"
AET 364,Chassis Design and Performance Testing,4,"MATH 121, PHYS 211"
AET 366,Automotive Thermodynamics and Engine Design,3,"CHEM 104, MATH 121, PHYS 211"
AET 387,Junior Design Project,3,"ENG 271W, STAT 154"
AET 436,Hybrid and Electric Vehicles,3,"AET 280, AET 366"
AET 465,Automotive Laboratory Experience,2,"AET 364, Permission required"
AET 468,Automotive Research Methods,4,"AET 366, PHYS 211, STAT 154"
AET 488W,Senior Design Project I,3,"MET 341, AET 364, AET 387"
AET 489W,Senior Design Project II,3,"AET 468, AET 488W, MET 324"
AET 535,Automotive Design & Construction,,
AET 536,Hybrid and Electric Vehicles,3,
AET 568,Automotive Research Methods and Design of Experiments,4,
AET 592,Seminar: Automotive,,
AET 637,Automotive Emission Design and Measurement,,
AET 638,High Performance Engineering,,
AET 647,Advanced Automotive Emissions and Measurement,,
AET 648,Advanced High Performance Engineering,1-3,
AET 661,Automotive Experimental Research 1,2,
AET 662,Automotive Experimental Research 2,2,
AET 663,Automotive Experimental Research 3,2,
AET 664,Automotive Experimental Research 4,2,
AET 677,Individual Study,,
AET 694,Alternate Plan Paper,,
AET 697,Internship: Automotive,,
AET 699,Thesis,,
AGBZ 110,Agronomy Selling Skills,3,
AGBZ 111,Introduction to Agriculture Economics,3,
AGBZ 315,Agronomy Finance Management,4,
AGBZ 330,AgriBusiness & Food Supply Chain Management,3,
AGBZ 340,Commodity Marketing Principles,3,
AGBZ 345,Commodity Marketing Strategies,2,
AGBZ 350,Agribusiness Transfer & Law,3,
AGBZ 370,AgriBusiness Finance,3,
AGBZ 371,Agricultural Technology Seminar,2,
AGBZ 496,Internship,1-4,
AIS 101,Introduction to American Indigenous Studies,3,
AIS 112,Elementary Ojibwe I,4,
AIS 113,Elementary Ojibwe II,4,
AIS 130,Introduction to Indigenous Education,3,
AIS 210W,Oral Traditions,3,
AIS 211,Native America to 1900,3,
AIS 212,Native America 1900 to Present,3,
AIS 220W,Introduction to Tribal Sovereignty,3,
AIS 230W,American Indians of Minnesota,3,
AIS 240W,American Indian Women,3,
AIS 275,Selected Topics:,3,
AIS 300W,American Indian Leaders,3,
AIS 330,Indigenous Education,3,
AIS 340,American Indians in Film,3,
AIS 360,Indigenous Peoples and Environmental Struggles,3,
AIS 380,The Sacred Landscape,3,
AIS 398,CPT: Co-Operative Experience,0, At least 60 credits earned; in good standing; instructor permission; co-op contract; other prerequisites may also apply.
AIS 455,Museum Science and Representation,3,
AIS 460,Behaving Like Relatives,3,
AIS 475,Selected Topics:,3,
AIS 485,Workshop,1-6,
AIS 497,Internship,1-12,
AIS 499,Individual Study,1-6,
AIS 555,Museum Science and Representation,3,
ANTH 101,Introduction to Anthropology,4,
ANTH 102,Ancient Peoples,4,
ANTH 120,Forensic Science: An Anthropological Approach,4,
ANTH 210,Introduction to Archaeology,4,
ANTH 220,Human Origins,4,
ANTH 230,Peoples and Cultures of the World,4,
ANTH 240,Language and Culture,4,
ANTH 245,The Social Life of Swearing,4,
ANTH 250W,Portraits of Culture,4,
ANTH 260,"Vampires, Werewolves, and Zombies: Folklore of Fear",4,
ANTH 261,"Taboos, Tattoos, and T-Shirts: Culture and Body Art",4,
ANTH 269,Anthropology of Sex,4,
ANTH 285,Special Topics,,
ANTH 290,Exploratory Studies,, Consent 
ANTH 300,Introduction to Anthropology Methods,4, ANTH 101
ANTH 311,Ancient Egypt,4,
ANTH 323,Primate Behavior,4, ANTH 101 or ANTH 220 or consent
ANTH 331,Environmental Anthropology,4,
ANTH 332,Anthropology of Religion,4,
ANTH 335,People and Cultures of Sub-Saharan Africa,4,
ANTH 340,Language and Power,4,
ANTH 360,Business Anthropology,4,
ANTH 361,Foodways,4,
ANTH 410,Archaeology of Minnesota,4,
ANTH 411,Archaeology of Native North America,4,
ANTH 412,Archaeology of Latin America,4,
ANTH 414,Museology,4,
ANTH 415,Cultural Resource Management,4," ANTH 101, ANTH 210 or consent "
ANTH 416,Archeological Methods,4,
ANTH 417,Quaternary Environments and Climatic Change,4,"GEOG 101, ANTH 210; Students are strongly encouraged to take Geog 315 or 4/515 before enrolling. Geol 121 can be substituted for Geog 101 with instructor permission."
ANTH 418,Agricultural Systems and Environmental Change,4,
ANTH 420,Human Osteology,4,
ANTH 421W,"Health, Culture, and Disease",4,
ANTH 422,Forensic Anthropology,4, ANTH 420 
ANTH 424,Bioarchaeology,4,
ANTH 425W,Anthropology of Death,4,
ANTH 430,Peoples and Cultures of Latin America,4," ANTH 101, ANTH 230, or consent "
ANTH 432,"Kinship, Marriage and Family",3,
ANTH 433,Anthropology of Gender,4," ANTH 101, ANTH 230, or consent "
ANTH 436W,Anthropology of Aging,4," ANTH 101, ANTH 230, or ANTH 220, or consent "
ANTH 437,Applied Anthropology,4," ANTH 101, ANTH 230 or consent "
ANTH 438W,Anthropological Theory,4,
ANTH 439,Qualitative Research Methods,4," ANTH 101, ANTH 220 or consent "
ANTH 440,Native American Cultures of North America,4,
ANTH 443W,People and Cultures of East Asia,4,
ANTH 475,Senior Thesis,3,ANTH 300
ANTH 480,Fieldwork: Archaeology/Ethnology,," Consent, or one of: ANTH 101, ANTH 102, or ANTH 220 "
ANTH 485,Topics in Anthropology,1-4,
ANTH 486,Workshop,, Depends on topic and instructor 
ANTH 491,Archaeology Laboratory,,
ANTH 492,Biological Anthropology Lab,, Consent 
ANTH 493,Ethnology Lab,, Consent 
ANTH 494,Linguistic Lab,,
ANTH 497,Internship,, Consent 
ANTH 498,Internship: Teaching Anthropology,,
ANTH 499,Individual Study,, Consent 
ANTH 510,Archaeology of Minnesota,4,
ANTH 511,Archaeology of Native North America,4,
ANTH 512,Archaeology of Latin America,4,
ANTH 514,Museology,4,
ANTH 515,Cultural Resource Management,4,
ANTH 516,Archeological Methods,3,
ANTH 517,Quaternary Environments and Climatic Change,4,
ANTH 518,Agricultural Systems and Environmental Change,4,
ANTH 520,Human Osteology,4,
ANTH 521,"Health, Culture, & Disease",4,
ANTH 522,Forensic Anthropology,4,
ANTH 524,Bioarchaeology,4,
ANTH 525,Anthropology of Death,4,
ANTH 530,Peoples and Cultures of Latin America,4,
ANTH 532,"Kinship, Marriage and Family",4,
ANTH 533,Anthropology of Gender,4,
ANTH 536,Anthropology of Aging,4,
ANTH 537,Applied Anthropology,4,
ANTH 538,Anthropological Theory,3,
ANTH 539,Qualitative Research Methods,4,
ANTH 540,Native American Cultures of North America,4,
ANTH 543,People and Cultures of East Asia,4,
ANTH 577,Individual Study,,
ANTH 580,Fieldwork: Archea/Ethno,,
ANTH 585,Topics in Anthropology,,
ANTH 586,Workshop,1-4,
ANTH 591,Archaeology Laboratory,,
ANTH 592,Biological Anthropology Lab,,
ANTH 593,Ethnology Lab,,
ANTH 601,Seminar,3,
ANTH 602,Seminar: Research Methods,3,
ANTH 603,Practicing Anthropology,3,
ANTH 677,Individual Study,,
ANTH 694,Alternative Plan Paper,3-6,
ANTH 697,Internship,1-12,
ANTH 699,Thesis,1-6,
AOS 301,Introduction to Applied Leadership,3,
AOS 488,Professional Studies Portfolio,2, AOS 301
ART 100,Elements and Principles of Art,3,
ART 101,Design Foundations,3,
ART 103,Three-Dimensional Design,3,
ART 110,Drawing Foundations,3,
ART 160,Introduction to Visual Culture,3,
ART 202,Introduction to Digital Media,3,
ART 210,Drawing,3, ART 110 
ART 212,Life Drawing,3, ART 110 
ART 220,Graphic Design I,3,ART 202
ART 225,Developing Creativity: Approaches and Techniques,3,
ART 231,Mixed Media,3,
ART 240,Painting,3,"ART 100 or ART 101, ART 110 or consent"
ART 245,Watercolor,3,"ART 100 or ART 101, ART 110 or consent"
ART 250,Ceramics: Beginning Wheel,3,
ART 251,Ceramics: Beginning Handbuilding,3,
ART 260,Art History Survey I,3,
ART 261,Art History Survey II,3,
ART 265W,Art As Politics,3,
ART 270,Printmaking: Beginning Silkscreen and Lithography,3,
ART 271,Printmaking: Beginning Intaglio/Relief,3,
ART 275,Introduction to Photography,3,
ART 280,Sculpture,3, ART 103 or consent 
ART 285,Introduction to Installation,3, ART 103 or consent
ART 302,Interaction Design,3,ART 202
ART 304,Typography I,3,ART 202
ART 310,Drawing,3, ART 210
ART 320,Graphic Design II,3," ART 220, ART 302, ART 304"
ART 324,Concept and Image,3," ART 220, ART 302, ART 304"
ART 340,Painting,3, ART 240 or consent 
ART 350,Intermediate Ceramics,3, ART 250 or ART 251 
ART 370,Printmaking: Intermediate Studio,3, ART 270 or ART 271 
ART 372,Digital Printmaking,3," ART 202, ART 271"
ART 375,Intermediate Black and White Photography,3,ART 275
ART 377,Intermediate Digital Photography,3,ART 275
ART 378,Experimental Video,4,
ART 380,Sculpture,3, ART 280 
ART 385,Explorations in Installation Art I,4, ART 285 or consent
ART 391,Portfolio Review,0,ART 104
ART 392,Portfolio Review: Graphic Design,0,
ART 400,Graphic Design Special Topics,3-6,ART 392
ART 402,Motion Graphics,3,ARTR 392
ART 404,Typography II,3,"ART 220, ART 302, ART 304"
ART 405,Self-Initiated Design Workshop,3,392
ART 406,Web Design I,3,"ART 220, ART 302, ART 304"
ART 410,Drawing Workshop,3-6, ART 310
ART 417,Medieval Art and Architecture,3, ART 260 or consent
ART 419,Gender in Art,3, ART 261 or consent 
ART 420,Graphic Design III,3-6,"ART 320, ART 404, ART 406"
ART 421,Art Methods Elementary School,3," ART 100 or ART 101, Jr. status or consent "
ART 424,Art Education for the Exceptional Child,3, ART 421 
ART 426,Art Methods Secondary School,3, ART 421 
ART 434,Arts Administration,3,
ART 436,Web Design II,3,"ART 392, ART 406"
ART 440,Painting,3-6, ART 340
ART 444,Typography III,3,"ART 392, ART 404"
ART 450,Advanced Ceramics,3-6, ART 350 
ART 460,Ancient Art,3, ART 260 or consent 
ART 461,Medieval Art Around the Mediterranean,4,
ART 462,Renaissance Art,3, ART 261 or consent 
ART 463,Mannerism to Romanticism,3,"ART 392, ART 406"
ART 464,Art Museum and Exhibition Studies,3," ART 260, ART 261"
ART 466,Realism to Postmodernism,3, ART 261 or consent 
ART 467,Art of the Islamic World,3,
ART 468,Design: History and Theory,3,
ART 469,Asian Art,3," ART 260, ART 261 or consent "
ART 470,Printmaking: Advanced Studio,3-6, ART 370 
ART 475,Advanced Photography Studio,3-6,
ART 477W,Roots of Modern Islamic Art,3,
ART 480,Sculpture,3-6, ART 380 
ART 485,Advanced Installation,3-6, ART 385 or consent
ART 492,Art History Seminar,1-6, Consent 
ART 493,Gender in Art,4,
ART 494,Topics,3,
ART 495,Senior Exhibit,1,Consent
ART 496,Art History Senior Thesis,1, Consent of advisor 
ART 497,Internship,1-6, Jr. standing with consent of advisor and department chair. 
ART 498,Professional Practice in Graphic Design,2,
ART 499,Individual Study,1-6, Consent 
ART 501,Graphic Design,4,
ART 510,Drawing: Contemporary Practices I,4,
ART 519,Gender in Art,3,
ART 521,Art & Design Education 1: Content and Clinical Experience at the K-6 Level,3,
ART 524,"Arts Based Pedagogy: Practices, Technologies and Assessments",3,
ART 526,Art & Design Education 2: Content and Clinical Experience at the 7-12 Level,3,
ART 534,Arts Administration,3,
ART 540,Painting: Contemporary Practices I,4,
ART 550,Graduate Ceramics I,4,
ART 560,Ancient Art Around the Mediterranean,4,
ART 561,Medieval Art Around the Mediterranean,4,
ART 562,Renaissance Art,3,
ART 563,Mannerism to Romanticism,3,
ART 564,Museum Studies: Theory & Practice,4,
ART 566,Realism to Postmodernism,3,
ART 567,Art of the Islamic World,4,
ART 568,Design: History and Theory,3,
ART 569,Arts of South & East Asia,4,
ART 570,Graduate Printmaking I,4,
ART 575,Photography,4,
ART 577,Roots of Modern Islamic Art,4,
ART 580,Graduate Sculpture I,4,
ART 585,Installation Art: Contemporary Practices I,4,
ART 594,Topics,4,
ART 600,Advanced Graphic Design,4,
ART 601,Introduction to Research in Art,3,
ART 610,Drawing: Contemporary Practices II,4,
ART 640,Painting: Contemporary Practices II,4,
ART 650,Graduate Ceramics II,4,
ART 670,Graduate Printmaking II,4,
ART 675,Photography,4,
ART 677,Individual Study,,
ART 680,Graduate Sculpture II,4,
ART 685,Installation Art: Contemporary Practices II,4,
ART 690,Graduate Review,1,
ART 697,Internship,,
ART 699,Graduate Exhibition and Defense,3-6                                     ,
AST 101,Introduction to Astronomy,3,
AST 102,Introduction to the Planets,3,
AST 125,Observational Astronomy,3,AST 101
AST 351,Telescope Operations,2," AST 201 and AST 215, Consent "
AST 353,Photometry I,2, AST 215 
AST 355,Astrometry,2, AST 201 and AST 215 
AST 357,Spectroscopy,2, AST 225 
AT 606,Anatomic Basis of Musculoskeletal Injury,3,Acceptance into the M.S. in Athletic Training degree program
AT 607,Athletic Training Techniques,3,Acceptance into the M.S. in Athletic Training degree program.
AT 608,Athletic Training Emergency Care,2,
AT 610,Evaluation Techniques I,4,
