Course,Predicted Enrollment
MATH 098,1340
COMM 102,572
CHEM 106,552
BUS 295,496
ACCT 200,473
AVIA 334,455
BIOL 220,447
AVIA 432,418
BUS 397,408
AVIA 100,391
IBUS 380,388
COMM 100,385
BIOL 202,383
AVIA 253,380
NURS 236,368
NURS 286,359
CIS 101,359
CHEM 104,349
PHYS 101,339
BIOL 271,339
BIOL 105,320
BIOL 106,311
PHYS 221,305
ECON 202,288
BIOL 201,281
MATH 121,271
FINA 362,271
ENG 271W,268
NURS 382,252
NURS 402,248
CHEM 201,248
AVIA 340,245
CS 498W,242
DHYG 326,232
HP 325,219
BIOL 306,214
NURS 362,211
ENG 101,205
FCS 242,203
DHYG 322,203
AVIA 437,199
MGMT 230,193
PHIL 224W,191
FINA 470,191
AVIA 101,191
PHIL 120W,186
CIS 497,184
HP 350,181
GEOG 476,174
ECON 201,169
MGMT 300,168
ELE 215,168
CHEM 202,164
SOC 101,163
BLAW 200,160
MRKT 316,159
MRKT 210,155
PHIL 240W,155
PHIL 222W,154
MGMT 472,152
PHIL 205W,149
PSYC 101,149
HP 141,147
CJ 371,143
COMM 494,141
MGMT 481,140
CM 310,138
ELE 470,137
MATH 122,136
NURS 320W,136
SOWK 441,135
MATH 354,135
AVIA 150,132
CS 495,132
CIS 499,131
COMM 400,127
GEOL 100,126
AVIA 445,122
PHIL 226W,119
FCS 140,115
CM 130,113
ELE 410,113
MGMT 346,112
CM 120,111
ECON 207,111
AVIA 364,111
HP 435,110
PSYC 325,109
EE 107,109
PSYC 201,109
ACCT 210,108
HP 290,108
DHYG 311,107
ART 495,104
ART 261,104
PSYC 410,103
PSYC 211W,102
AVIA 240,97
ELE 432,96
HLTH 210,95
BIOL 300,94
PSYC 414,93
CIS 121,93
CM 271,91
HLTH 454,91
EE 244,90
HP 363,90
ME 101,89
CIS 340,88
SOC 202,88
MGMT 380,82
CM 111,82
CIS 350,82
MGMT 340,81
ART 212,79
COMM 300,78
PHYS 222,78
ART 260,78
BIOL 100,76
MATH 113,76
CIS 360,74
CHEM 324,74
CSP 647,74
DHYG 313,73
CDIS 346,73
EE 234,73
SOWK 215,72
MATH 112,67
CDIS 308,67
EDLD 670,66
CDIS 307,65
ELE 430W,65
ELE 411,65
CJ 255,65
GEOG 340,65
CDIS 350W,65
MATH 130,64
NURS 524,63
GWS 220,63
CIS 122,62
CHEM 322,62
HLTH 460,62
CSP 652,62
MATH 202,62
HLTH 240,61
CIS 202W,61
AVIA 451,61
ME 241,61
DHYG 444W,60
AVIA 360,60
MGMT 459,60
PSYC 436,60
MATH 321,59
SOWK 450,59
AOS 488,59
CIS 224,58
ENGR 311W,58
ME 223,57
CM 330,57
CDIS 220,57
HLTH 295,57
EDLD 637,56
MATH 223,56
ANTH 240,56
MGMT 484,56
ME 201,55
KSP 235,55
HP 459,54
BIOL 371,54
COMM 421,54
ED 101,53
EE 334,53
DHYG 443,53
CIS 380,53
ENGR 301,52
PSYC 321,52
AIS 330,51
EE 450,51
PSYC 433,51
DHYG 451,50
ELE 412,50
PSYC 343,50
HIST 190,49
AVIA 450,49
PHYS 211,49
ART 245,49
ART 110,48
CIS 223,48
EE 282,48
NURS 634,48
EE 304,48
HP 462,47
BIOL 320,47
EE 477W,47
SOWK 212,46
CIS 694,46
KSP 220W,46
THEA 300,46
MATH 280,45
DHYG 441,45
PSYC 413,45
EE 105,45
ACCT 320,45
MGMT 332,45
POL 321,44
COMM 224,44
CM 300,44
ART 231,44
ME 417,44
CDIS 446,43
AVIA 251,43
AVIA 436,43
HLTH 260,43
CSP 658,43
MATH 115,43
REHB 110W,42
ACCT 330,42
PSYC 358,42
HIST 190W,42
DHYG 321,42
CM 380,42
HIST 232,41
NURS 525,41
COMM 110,41
ENG 694,41
EDLD 636,41
AIS 212,41
CIVE 201,41
NURS 635,41
CIS 699,40
PHIL 110,40
PSYC 455,40
ENG 285,40
GEOL 104,40
CDIS 477,40
COMM 437,40
EDLD 635,40
MET 142,39
CDIS 205,39
ME 329,38
PSYC 466,38
HP 313,38
CM 450,38
MGMT 492,38
GWS 225,38
CW 340,37
GEOL 121,37
ME 324,37
NURS 556,37
BIOL 330,37
CDIS 421,37
COMM 374,36
ETHN 203W,36
FINA 467,36
ETHN 201W,36
MATH 201,36
NURS 521,36
HLTH 370,35
HIST 302,35
EE 230,35
CW 242W,35
CDIS 306,35
CIS 440,35
ENGR 401,35
URBS 230,35
CIVE 350,35
COMM 105W,35
ART 103,34
AVIA 201,34
CW 341,34
PSYC 340,34
DHYG 452,34
ENG 322,33
SPED 694,33
CM 350,33
HIST 495W,33
ME 214,33
ART 100,33
IDST 496,33
EDLD 695,32
HLTH 372,32
BIOL 102,32
CDIS 322,32
PSYC 401,32
RPLS 293,32
RPLS 483,31
HP 427,31
DHYG 442,31
DHYG 453W,31
CDIS 447,31
MBA 642,31
GWS 120W,31
ME 212,31
EDLD 665,30
EE 341,30
NURS 523,30
CDIS 312,30
STAT 154,30
CSP 648,30
RPLS 376,30
CJ 322,30
CW 672,30
CW 641,30
GEOG 217,29
AIS 210W,29
DHYG 328,29
HP 260,29
EE 240,29
AIS 220W,29
ELE 222W,29
CW 342,29
NURS 641,29
ME 492,29
CIS 697,29
ELE 431,29
ART 202,29
ENGR 411W,29
RPLS 493,29
ENG 323,28
POL 231,28
ART 466,28
MBA 630,28
MBA 610,28
GEOG 103,28
DHYG 329,28
HIST 497,28
NURS 642,28
NURS 643,28
ANTH 120,28
CJ 309,28
RPLS 276,27
ETHN 150,27
BIOL 424,27
ME 336,27
DHYG 331,27
EE 231,27
THEA 302,27
CDIS 201,27
NURS 685,27
MBA 623,27
MBA 634,27
SOWK 665,27
ME 438W,27
CIS 544,27
BIOL 211,27
HP 465,26
ELE 413,26
CDIS 394,26
HLTH 482W,26
AOS 301,26
MATH 380,26
GWS 225W,26
EE 358,26
PHYS 232,26
HLTH 480,25
HIST 280,25
GWS 222,25
MBA 690,25
MRKT 324,25
HIST 268,25
ENG 635,25
ME 103,25
NURS 633,25
CM 410,25
MET 341,25
CM 210,25
NURS 607,24
HP 469,24
MBA 695,24
EDLD 682,24
CSP 110,24
SOWK 650,24
CSP 573,24
CDIS 410,24
HP 315W,24
RPLS 373,24
THEA 315,24
CIS 641,24
CM 492,24
CHEM 191,24
FCS 150,24
IBUS 448,23
DHYG 431,23
ENG 671,23
AET 465,23
DHYG 432,23
PHYS 223,23
EDLD 679,23
FREN 201,23
HLTH 361W,23
HLTH 101,23
DHYG 101,22
CHEM 466,22
AIS 211,22
AIS 101,22
MACC 660,22
ETHN 204W,22
ETHN 100,22
CJ 323,22
MBA 645,22
ACCT 300,22
ART 101,22
FCS 301,22
CS 485,22
KSP 609,22
THEA 265,22
CIS 496,22
HLTH 406,22
MRKT 312,22
FILM 402,22
RPLS 100,22
SOC 301W,22
CM 220,22
FILM 412,21
CHEM 305,21
CIVE 436,21
PSYC 219,21
CSP 653,21
CDIS 320,21
FCS 400,21
SOC 458,21
URBS 230W,21
CW 640,21
SOWK 316,21
COMM 203,20
CSP 679,20
GWS 110,20
CIVE 360,20
COMM 233,20
ACCT 220,20
COMM 306,20
COMM 221W,20
EDLD 647,20
EDLD 651,20
CIVE 402W,20
BIOL 325,20
CHEM 489,20
DHYG 332,20
CDIS 614,20
EDLD 673,20
KSP 660,20
KSP 674,20
DHYG 333,20
HP 295,20
ENG 275W,20
DHYG 100,20
MRKT 413,20
CDIS 445,20
SOWK 443,20
DANC 227,20
EDLD 646,20
MACC 680,19
RPLS 175,19
EE 303,19
EDLD 674,19
COMM 498,19
ENG 584,19
DHYG 435,19
HP 333,19
SOC 150,19
CDIS 491,19
MGMT 490,19
FINA 400,19
FCS 414W,19
MBA 681,19
ME 299,19
HP 468,19
DHYG 455,19
AET 366,19
CS 480,19
HP 201,19
POL 420,18
CS 401,18
MGMT 391,18
CW 638,18
PHIL 115W,18
HUM 281W,18
CHEM 281,18
AVIA 455,18
CDIS 420,18
BIOL 452,18
EE 333,18
PSYC 460W,18
POL 241,18
EE 353,18
ANTH 220,18
DHYG 437,18
ART 494,18
ENG 587,18
ENG 606,18
BLAW 450,18
HLTH 225,17
STAT 550,17
GEOG 401,17
EE 106,17
SOC 497,17
NURS 708,17
BIOL 476,17
ANTH 438W,17
BIOL 438,17
BIOL 442,17
DHYG 327,17
CS 308,17
EE 337,17
FINA 464,17
CIS 311,17
THEA 252,17
MRKT 420,17
ME 321,16
CSP 689,16
SOC 208,16
SOWK 455,16
HP 331,16
ELE 682,16
ELE 681,16
CS 435,16
CS 445,16
THEA 121,16
AVIA 151,16
BIOL 498,16
THEA 482,16
HP 449,16
HLTH 420W,16
EDLD 735,16
ART 468,16
MET 275,16
DHYG 439,16
DHYG 462,16
STAT 556,16
FCS 331,16
FCS 340,16
HP 450,15
HP 334,15
ENG 675,15
COMM 330W,15
THEA 426,15
THEA 410,15
ENGR 312W,15
ENGR 110,15
ELE 695,15
EDLD 751,15
COMM 425,15
EDLD 799,15
SOWK 655,15
SOWK 660,15
CSP 650,15
ENG 361,15
FCS 270,15
BIOL 443W,15
MUSC 116,15
PSYC 770,15
ETHN 101,15
POL 451,15
FCS 401,15
AET 387,15
MRKT 480,15
NURS 686,15
FINA 482,15
CW 699,15
CIVE 101,15
GWS 120,15
ENGR 302,14
STAT 354,14
EE 336,14
GEOG 445,14
FINA 460,14
FINA 466,14
FCS 284,14
ENG 625,14
ELE 694,14
ANTH 230,14
HLTH 360,14
STAT 356,14
ART 477W,14
AT 670,14
AT 674,14
KSP 694,14
AT 682,14
BIOL 479,14
AVIA 250,14
MUSC 105,14
SOC 469,14
ENG 213W,14
CDIS 392,14
CDIS 290,14
HIST 191,14
PSYC 420,14
ACCT 301,14
DANC 580,13
HP 426,13
THEA 275,13
KSP 622,13
ART 304,13
AT 624,13
AT 632,13
AT 634,13
AT 622,13
AT 616,13
CJ 310,13
ELE 446,13
CS 403,13
HIST 191W,13
ELE 467,13
HLTH 456,13
PHYS 457,13
COMM 603,13
SOC 351,13
MRKT 496,13
ENG 555,13
AT 614,13
DANC 324,13
DANC 320,13
ACCT 421,13
DANC 620,13
CW 649,13
KSP 695,13
POL 453,13
KSP 600,13
KSP 665,13
RPLS 393W,13
FILM 498,12
HP 689,12
CHEM 461,12
CW 698,12
AET 334,12
MRKT 498,12
THEA 210,12
ECON 420,12
ENG 571,12
CIVE 340,12
MUSC 341,12
DANC 590,12
NURS 688,12
CIS 631,12
COMM 419,12
NURS 671,12
KSP 630,12
MRKT 341,12
ANTH 697,12
ANTH 603,12
HLTH 497,12
MET 627,12
ENG 688,12
POL 422,12
NURS 719,12
MET 528,12
CSP 673,12
CS 470,12
AET 436,12
ME 463,12
KSP 619,12
FILM 114,12
PSYC 761,12
HLTH 311,11
THEA 638,11
THEA 530,11
PSYC 415,11
ACCT 410,11
FINA 480,11
MBA 651,11
MBA 657,11
PSYC 799,11
HP 626,11
HP 646,11
BIOL 499,11
ANTH 210,11
SOWK 603,11
CDIS 617,11
MATH 127,11
CW 343,11
MRKT 318,11
CS 440,11
ART 392,11
MATH 290,11
BIOL 406,11
FCS 100,11
CHEM 445,11
AVIA 243,11
BIOL 451,11
THEA 215,11
COMM 405,10
HLTH 407,10
COMM 499,10
HP 609,10
KSP 662,10
COMM 315,10
THEA 451,10
THEA 260,10
CDIS 689,10
CDIS 697,10
CDIS 577,10
CDIS 404,10
CDIS 613,10
